"","mice","date_expe","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS"
"289",36,2019-06-05,183,"6.2",211,"under31",33.9,36.9,7.003,NA,142,10.957,6.389,0.79889675031704,"NS"
"290",36,2019-07-04,212,"7.2",182,"under31",34,38.8,9.567,15.45957,147,10.34,7.572,2.18160849060663,"NS"
"291",36,2019-07-30,238,"8.0",156,"under31",32,37.3,8.488,16.4529225,140,9.776,7.065,1.46777442914034,"NS"
"292",36,2019-08-14,253,"8.5",141,"under31",32.9,37.1,NA,NA,132,NA,7.673,0.259565718375685,"NS"
"293",36,2019-09-03,273,"9.2",121,"under31",36.4,37.5,8.619,9.53841,138,11.082,6.736,1.06850633776758,"NS"
"294",36,2019-09-17,287,"9.5",107,"under31",32.5,36.6,NA,NA,133,NA,NA,0.0105515115733511,"NS"
"295",36,2019-10-04,304,"10.1",90,"under31",36.8,36.1,12.611,16.61709,154,9.677,6.882,2.40089979208326,"NS"
"296",36,2019-10-22,322,"10.7",72,"under31",37.1,36.3,NA,NA,155,NA,6.735,1.62181963711773,"NS"
"297",36,2019-10-31,331,"11.0",63,"under31",40.2,37.5,11.9,10.4622,150,13.98,9.983,2.10409876534509,"NS"
"298",36,2019-11-18,349,"11.6",45,"under31",27.4,37.7,NA,NA,147,NA,7.566,0.175589489150917,"NS"
"299",36,2019-12-03,364,"12.0",30,"above31",39.1,37.6,NA,NA,124,12.672,9.823,1.36158478690504,"NS"
"300",36,2019-12-16,377,"12.5",17,"above31",30.6,33.8,1.33,NA,102,22.789,20.115,-2.90579277022763,"S"
"301",37,2019-03-01,87,"3.1",233,"under31",27.7,NA,NA,NA,150,7.567,5.484,0.327173108388476,"NS"
"302",37,2019-03-22,108,"3.8",212,"under31",31,NA,NA,NA,149,9.887,6.393,0.792777339583958,"NS"
"303",37,2019-04-17,134,"4.6",186,"under31",32.5,NA,6.77,NA,150,8.958,7.031,1.11217243799703,"NS"
"304",37,2019-06-05,183,"6.2",137,"under31",33.6,35.2,6.171,11.80893,133,11.551,7.35,0.0292454999856752,"NS"
"305",37,2019-07-04,212,"7.2",108,"under31",34.9,37.8,6.814,15.81573,148,10.577,6.874,1.62504999720563,"NS"
"306",37,2019-07-30,238,"8.0",82,"under31",36.6,37,8.16,NA,146,11.31,7.448,1.37395500679783,"NS"
"307",37,2019-08-14,253,"8.5",67,"under31",31.3,36.1,NA,NA,134,NA,8.137,-0.235076184049569,"NS"
"308",37,2019-09-03,273,"9.2",47,"under31",37.2,37.2,5.361,NA,121,12.184,6.298,0.367624115455975,"NS"
"309",37,2019-09-17,287,"9.5",33,"under31",28.2,35,NA,NA,73,NA,14.765,-3.62654045556592,"S"
"310",37,2019-10-04,304,"10.1",16,"above31",35.3,35.3,0.554,1.41351,92,162.61,28.611,-4.34549199993972,"S"
"311",38,2019-03-01,87,"3.1",146,"under31",30.8,NA,NA,NA,151,9.904,5.768,0.858820891047,"NS"
"312",38,2019-03-22,108,"3.8",125,"under31",30.8,NA,NA,NA,136,7.983,6.584,0.167135910639148,"NS"
"313",38,2019-04-17,134,"4.6",99,"under31",35.3,NA,5.701,NA,164,7.88,7.645,1.65887220270064,"NS"
"314",38,2019-06-05,183,"6.2",50,"under31",36.3,37.6,8.695,NA,145,9.78,8.422,1.65695582726251,"NS"
"315",38,2019-07-04,212,"7.2",21,"above31",37.7,36.3,9.212,NA,155,8.196,6.839,1.67969346489661,"NS"
"316",39,2019-03-01,87,"3.1",377,"under31",22.3,NA,NA,NA,151,15.716,5.555,-0.623638185751576,"NS"
"317",39,2019-03-22,108,"3.8",356,"under31",23,NA,NA,NA,146,8.225,5.956,-0.654932183712197,"NS"
"318",39,2019-04-17,134,"4.6",330,"under31",26.7,NA,2.17,12.72159,147,8.983,7.019,-0.037297498367745,"NS"
"319",39,2019-06-05,183,"6.2",281,"under31",28.9,36.7,2.892,NA,131,9.519,6.942,-0.740553349461148,"NS"
"320",39,2019-07-04,212,"7.2",252,"under31",28.9,37.9,3.788,NA,142,8.879,6.612,0.135425405868039,"NS"
"321",39,2019-07-30,238,"8.0",226,"under31",29.5,37.3,5.55,NA,133,9.266,9.476,0.0687657164562693,"NS"
"322",39,2019-08-14,253,"8.5",211,"under31",27.3,37.4,NA,NA,142,NA,7.077,-0.130100648052774,"NS"
"323",39,2019-09-03,273,"9.2",191,"under31",30.7,37.6,5.259,13.23357,125,9.24,6.304,0.357801383792714,"NS"
"324",39,2019-09-17,287,"9.5",177,"under31",27.7,36.7,NA,NA,156,NA,6.745,0.284332389161744,"NS"
"325",39,2019-10-04,304,"10.1",160,"under31",29.9,38.1,5.984,13.42278,140,8.367,7.179,0.825829582914411,"NS"
"326",39,2019-10-22,322,"10.7",142,"under31",28.5,37.6,NA,NA,151,NA,6.229,0.499163437157639,"NS"
"327",39,2019-10-31,331,"11.0",133,"under31",29.8,37.8,3.587,10.1922975,125,10.428,8.696,-0.274387942851439,"NS"
"328",39,2019-11-18,349,"11.6",115,"under31",26.2,38.1,NA,NA,106,NA,7.302,-1.54391137487929,"S"
"329",39,2019-12-03,364,"12.0",100,"under31",29.5,37.6,NA,NA,114,10.496,7.53,-0.485226968150218,"NS"
"330",39,2019-12-16,377,"12.5",87,"under31",26,38.1,3.02,NA,108,10.02,11.8,-1.05170771340267,"NS"
"331",39,2020-01-08,400,"13.2",64,"under31",27.7,36.6,4.38,NA,118,15.223,7.087,-0.985147230156523,"NS"
"332",39,2020-01-30,422,"14.0",42,"under31",27.3,37.3,5.4,NA,143,24.076,13.66,-0.152659257974795,"NS"
"333",39,2020-02-19,442,"14.5",22,"above31",27.3,36.6,3.42,NA,125,97.586,76.57,-2.69976649864062,"S"
"334",39,2020-03-12,464,"15.2",0,"above31",26.3,NA,NA,NA,44,NA,NA,-6.04201373742498,"S"
"335",40,2019-03-01,87,"3.1",189,"under31",23.7,NA,NA,NA,146,8.429,5.53,-0.537658802862808,"NS"
"336",40,2019-03-22,108,"3.8",168,"under31",27.9,NA,NA,NA,152,11.114,6.027,0.407100287797554,"NS"
"337",40,2019-04-17,134,"4.6",142,"under31",27.3,NA,3.027,12.6297675,154,20.529,7.459,0.208042780815353,"NS"
"338",40,2019-06-05,183,"6.2",93,"under31",29.9,38,6.543,NA,140,10.102,9.16,0.702501681407078,"NS"
"339",40,2019-07-04,212,"7.2",64,"under31",30.4,38.3,7.729,15.63765,154,13.922,451.428,-1.91236403332168,"S"
"340",40,2019-07-30,238,"8.0",38,"under31",31.9,36.9,8.597,19.66671,133,13.716,18.53,1.46528486612535,"NS"
"341",40,2019-08-14,253,"8.5",23,"above31",30.6,37,NA,NA,140,NA,7.015,0.192198168502756,"NS"
"342",40,2019-09-03,273,"9.2",3,"above31",19.5,33.8,NA,NA,84,10.158,17.492,-4.5773225792274,"S"
"343",41,2019-03-01,87,"3.1",277,"under31",24.5,NA,NA,NA,156,7.782,5.708,0.0742844271416973,"NS"
"344",41,2019-03-22,108,"3.8",256,"under31",27.7,NA,NA,NA,149,11.914,4.983,0.230677164299883,"NS"
"345",41,2019-04-17,134,"4.6",230,"under31",30.1,NA,NA,12.070485,157,9.588,7.08,0.887835286604237,"NS"
"346",41,2019-06-05,183,"6.2",181,"under31",30.3,37.7,5.102,NA,144,10.964,6.703,0.454456704693676,"NS"
"347",41,2019-07-04,212,"7.2",152,"under31",31.4,36.5,6.504,16.19415,145,11.144,7.296,0.952065784838569,"NS"
"348",41,2019-07-30,238,"8.0",126,"under31",32.1,37.1,7.763,15.3594,147,10.641,7.242,1.30428197037576,"NS"
"349",41,2019-08-14,253,"8.5",111,"under31",27.1,36.7,NA,NA,135,NA,6.877,-0.661766285027217,"NS"
"350",41,2019-09-03,273,"9.2",91,"under31",31.9,37.1,5.676,9.80553,136,9.857,7.038,0.184386263290585,"NS"
"351",41,2019-09-17,287,"9.5",77,"under31",27.4,36.8,NA,NA,134,NA,6.543,-0.618488717468331,"NS"
"352",41,2019-10-04,304,"10.1",60,"under31",33,37.6,6.322,10.61802,145,9.027,7.167,0.750890246083448,"NS"
"353",41,2019-10-22,322,"10.7",42,"under31",28.8,35.9,NA,NA,124,NA,6.961,-1.08625879436777,"NS"
"354",41,2019-10-31,331,"11.0",33,"under31",33.6,37.6,7.022,13.8985875,141,13.948,7.655,1.13220394931575,"NS"
"355",41,2019-11-18,349,"11.6",15,"above31",29,37.2,NA,NA,83,NA,10.381,-2.34769169512617,"S"
"356",42,2019-03-01,87,"3.1",235,"under31",28.8,NA,NA,NA,138,9.98,9.963,-0.122366352166054,"NS"
"357",42,2019-03-22,108,"3.8",214,"under31",29.6,NA,NA,NA,153,13.178,7.64,0.698726422347992,"NS"
"358",42,2019-04-17,134,"4.6",188,"under31",34.3,NA,NA,19.249335,151,10.089,9.434,2.44918412781374,"NS"
"359",42,2019-06-05,183,"6.2",139,"under31",33.4,37.3,7.693,NA,137,9.528,8.41,0.918096600407361,"NS"
"360",42,2019-07-04,212,"7.2",110,"under31",35,38.4,6.682,13.43391,128,9.641,7.36,1.16835577069837,"NS"
"361",42,2019-07-30,238,"8.0",84,"under31",36.3,37.2,9.77,NA,138,10.016,7.256,1.55789698217087,"NS"
"362",42,2019-08-14,253,"8.5",69,"under31",33.1,36.5,NA,NA,136,NA,6.966,0.274240812605424,"NS"
"363",42,2019-09-03,273,"9.2",49,"under31",36.9,37.3,8.708,NA,133,12.701,8.305,1.27968705174796,"NS"
"364",42,2019-09-17,287,"9.5",35,"under31",37.5,37.2,NA,NA,131,NA,7.925,0.982831265778774,"NS"
"365",42,2019-10-04,304,"10.1",18,"above31",26.9,34.5,0.924,0,85,70.466,52.267,-4.58198429036775,"S"
"366",42,2019-10-22,322,"10.7",0,"above31",22,35.2,NA,NA,20,NA,NA,-7.17349995831121,"S"
"367",43,2019-03-01,87,"3.1",136,"under31",32.8,NA,NA,NA,156,11.525,8.353,1.38694132948068,"NS"
"368",43,2019-03-22,108,"3.8",115,"under31",33.8,NA,NA,NA,174,13.19,6.753,2.39600976754074,"NS"
"369",43,2019-04-17,134,"4.6",89,"under31",36.4,NA,5.8,11.469465,149,26.741,7.781,0.860580754683673,"NS"
"370",43,2019-06-05,183,"6.2",40,"under31",36.8,37.5,9.839,NA,148,14.014,7.548,1.901810091131,"NS"
"371",43,2019-07-04,212,"7.2",11,"above31",31.6,34.5,2.331,7.31241,102,10.012,9.907,-1.92442600566948,"S"
"372",44,2019-03-01,87,"3.1",225,"under31",32.2,NA,NA,NA,167,8.944,6.863,1.85046652674266,"NS"
"373",44,2019-03-22,108,"3.8",204,"under31",33.9,NA,NA,NA,156,10.616,6.712,1.59407607984619,"NS"
"374",44,2019-04-17,134,"4.6",178,"under31",37.2,NA,7.303,10.701495,166,20.019,7.507,1.5158849812734,"NS"
"375",44,2019-06-05,183,"6.2",129,"under31",36.5,36.5,10.286,16.14963,131,10.896,13.974,1.60840234169504,"NS"
"376",44,2019-07-04,212,"7.2",100,"under31",41,37.3,14.03,19.7001,144,11.968,9.244,3.36532684432747,"NS"
"377",44,2019-07-30,238,"8.0",74,"under31",42.2,36.8,14.82,NA,136,12.256,7.843,2.81174158485148,"NS"
"378",44,2019-08-14,253,"8.5",59,"under31",37.8,36.8,NA,NA,133,NA,8.155,0.983195329189087,"NS"
"379",44,2019-09-03,273,"9.2",39,"under31",41.2,36.8,10.817,10.69593,131,15.367,9.702,1.50959044247424,"NS"
"380",44,2019-09-17,287,"9.5",25,"above31",37.5,36.9,NA,NA,130,NA,8.527,0.840524741180602,"NS"
"381",44,2019-10-04,304,"10.1",8,"above31",30.9,34.2,NA,0,47,49.683,67.28,-4.70187912747114,"S"
"382",45,2019-03-01,87,"3.1",377,"under31",25.2,NA,NA,NA,162,10.107,5.987,0.443397115383342,"NS"
"383",45,2019-03-22,108,"3.8",356,"under31",23.7,NA,NA,NA,150,7.903,6.527,-0.350216641135851,"NS"
"384",45,2019-04-17,134,"4.6",330,"under31",27.1,NA,NA,12.938625,146,11.565,9.164,0.335173029968452,"NS"
"385",45,2019-06-05,183,"6.2",281,"under31",29.9,36.3,3.502,10.86288,144,9.521,34.343,-0.46461709877125,"NS"
"386",45,2019-07-04,212,"7.2",252,"under31",30.9,38.2,4.076,NA,142,10.209,6.779,0.4535775522855,"NS"
"387",45,2019-07-30,238,"8.0",226,"under31",30.6,37.6,7.22,NA,125,10.546,6.903,0.404220336169067,"NS"
"388",45,2019-08-14,253,"8.5",211,"under31",28.8,37.1,NA,NA,142,NA,7.486,0.0103770452800368,"NS"
"389",45,2019-09-03,273,"9.2",191,"under31",31.4,36.9,4.993,9.24903,164,9.219,6.766,0.427944241335631,"NS"
"390",45,2019-09-17,287,"9.5",177,"under31",26,36.1,NA,NA,134,NA,6.945,-1.06708134140198,"NS"
"391",45,2019-10-04,304,"10.1",160,"under31",30.8,36.4,7.053,15.94929,138,8.723,7.034,0.843903650933526,"NS"
"392",45,2019-10-22,322,"10.7",142,"under31",29.7,36.8,NA,NA,152,NA,6.434,0.477956519362273,"NS"
"393",45,2019-10-31,331,"11.0",133,"under31",32.5,37.7,5.561,10.77384,138,31.827,8.012,0.262376717567292,"NS"
"394",45,2019-11-18,349,"11.6",115,"under31",29.5,38,NA,NA,132,NA,7.264,0.00337908228118477,"NS"
"395",45,2019-12-03,364,"12.0",100,"under31",31.5,38.2,NA,NA,127,17.963,10.951,0.317631232842928,"NS"
"396",45,2019-12-16,377,"12.5",87,"under31",28.5,37.9,3.55,NA,116,13.185,6.997,-0.623405798789049,"NS"
"397",45,2020-01-08,400,"13.2",64,"under31",24.3,34.5,1.19,NA,119,10.745,9.817,-2.58370196425899,"S"
"398",45,2020-01-30,422,"14.0",42,"under31",22.2,34.2,1.42,NA,82,110.444,60.291,-5.47012288939241,"S"
"399",45,2020-02-19,442,"14.5",22,"above31",23.1,35.5,1.43,NA,80,100.469,103.501,-5.14848569537242,"S"
"400",46,2019-03-01,87,"3.1",213,"under31",29.5,NA,NA,NA,186,9.259,18.161,2.20496010508944,"NS"
"401",46,2019-03-22,108,"3.8",192,"under31",30.8,NA,NA,NA,133,10.436,6.535,-0.00426517269466247,"NS"
"402",46,2019-04-17,134,"4.6",166,"under31",30.5,NA,NA,11.6865,144,9.194,7.182,0.507865388618812,"NS"
"403",46,2019-06-05,183,"6.2",117,"under31",33.6,37.1,5.832,12.4656,149,10.58,9.46,0.825165667458919,"NS"
"404",46,2019-07-04,212,"7.2",88,"under31",34.1,37.9,6.191,12.51012,145,9.059,6.493,1.10377691170825,"NS"
"405",46,2019-07-30,238,"8.0",62,"under31",33.9,36.3,9.952,18.23094,121,11.01,6.726,1.41897748099266,"NS"
"406",46,2019-08-14,253,"8.5",47,"under31",33.2,36.6,NA,NA,121,NA,8.423,-0.303418451187601,"NS"
"407",46,2019-09-03,273,"9.2",27,"above31",34.6,36.3,1.893,1.38012,116,9.256,6.178,-1.65552601595934,"S"
"408",46,2019-09-17,287,"9.5",13,"above31",27.7,35.1,NA,NA,83,NA,9.319,-3.20017651777551,"S"
"409",47,2019-03-01,87,"3.1",209,"under31",31.6,NA,NA,NA,156,9.883,5.757,1.22837885353977,"NS"
"410",47,2019-03-22,108,"3.8",188,"under31",35.4,NA,NA,NA,137,9.576,6.759,0.958117303897613,"NS"
"411",47,2019-04-17,134,"4.6",162,"under31",38.8,NA,5.858,11.71989,161,8.702,7.491,1.50166536999171,"NS"
"412",47,2019-06-05,183,"6.2",113,"under31",36.6,37.3,7.454,12.65481,143,9.346,24.261,1.16082997219405,"NS"
"413",47,2019-07-04,212,"7.2",84,"under31",39.5,37.9,7.168,11.56407,151,10.731,7.927,1.62760609398647,"NS"
"414",47,2019-07-30,238,"8.0",58,"under31",38.6,37.1,11.8,NA,147,12.701,7.154,2.28730477013731,"NS"
"415",47,2019-08-14,253,"8.5",43,"under31",39.4,36.7,NA,NA,138,NA,6.777,1.42766103276283,"NS"
"416",47,2019-09-03,273,"9.2",23,"above31",39.4,37.2,9.798,15.97155,137,10.903,9.197,2.05905056030662,"NS"
"417",47,2019-09-17,287,"9.5",9,"above31",35.2,37,NA,NA,131,NA,6.615,0.569391929000837,"NS"
"418",48,2019-03-01,87,"3.1",119,"under31",23.4,NA,NA,NA,144,28.101,5.636,-0.923906451355619,"NS"
"419",48,2019-03-22,108,"3.8",98,"under31",25.3,NA,NA,NA,131,9.515,6.65,-1.00265578600211,"NS"
"420",48,2019-04-17,134,"4.6",72,"under31",29.9,NA,4.73,NA,153,8.281,7.575,0.597267685996254,"NS"
"421",48,2019-06-05,183,"6.2",23,"above31",30.6,35,0.932,4.35183,131,9.648,13.056,-1.9167870433338,"S"
"422",49,2019-03-01,87,"3.1",166,"under31",26.1,NA,NA,NA,162,14.518,7.515,0.526717192494973,"NS"
"423",49,2019-03-22,108,"3.8",145,"under31",29.5,NA,NA,NA,148,9.612,5.541,0.506381187547965,"NS"
"424",49,2019-04-17,134,"4.6",119,"under31",32.2,NA,6.02,NA,148,8.716,6.856,0.852894787608885,"NS"
"425",49,2019-06-05,183,"6.2",70,"under31",32.7,35.2,5.562,12.9108,163,12.484,8.727,0.492572536478657,"NS"
"426",49,2019-07-04,212,"7.2",41,"under31",33,38.6,6.78,11.40825,153,10.561,7.83,1.28882404754092,"NS"
"427",49,2019-07-30,238,"8.0",15,"above31",34.5,36.7,5.384,3.5643825,136,11.17,7.165,-0.467602246391681,"NS"
"428",49,2019-08-14,253,"8.5",0,"above31",27.9,NA,NA,NA,NA,NA,NA,-0.90120246788944,"NS"
"429",50,2019-03-01,87,"3.1",109,"under31",30,NA,NA,NA,180,12.132,6.952,2.05918145969643,"NS"
"430",50,2019-03-22,108,"3.8",88,"under31",30.3,NA,NA,NA,163,10.076,8.961,1.31497206746081,"NS"
"431",50,2019-04-17,134,"4.6",62,"under31",30.2,NA,NA,12.38769,133,7.885,8.873,0.282384978050382,"NS"
"432",50,2019-06-05,183,"6.2",13,"above31",25.2,NA,1.946,5.19771,114,12.42,41.68,-2.46582719948861,"S"
