"","sample_name_vero","sample","mice","date_expe","cage","number of mice /cage","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS"
"1","1A","1_2019-06-05",1,2019-06-05,"A",5,197,6.2,13,"above31",31.9,35.2,2.126,0.06678,113,11.563,23.699,-2.47231923638085,"S"
"2","2A","2_2019-06-05",2,2019-06-05,"A",5,197,6.2,90,"under31",28.9,37.7,4.813,NA,144,10.562,8.217,0.271348963123218,"NS"
"3","4A","4_2019-06-05",4,2019-06-05,"A",5,197,6.2,70,"under31",33.3,37.9,4.744,12.4127325,125,12.156,6.704,0.428360434864986,"NS"
"4","5A","5_2019-06-05",5,2019-06-05,"A",5,197,6.2,70,"under31",37.4,37.5,4.921,NA,144,13.345,7.755,0.926680816443993,"NS"
"5","6A","6_2019-06-05",6,2019-06-05,"B",5,197,6.2,19,"above31",33.1,38,6.648,9.6246675,133,11.522,8.713,0.556128358233603,"NS"
"6","8A","8_2019-06-05",8,2019-06-05,"B",5,197,6.2,82,"under31",36.7,37.7,8.608,NA,136,10.742,9.109,1.47976088619888,"NS"
"7","9A","9_2019-06-05",9,2019-06-05,"B",5,197,6.2,23,"above31",36.8,36.7,6.167,NA,140,14.662,9.56,0.697645063210614,"NS"
"8","10A","10_2019-06-05",10,2019-06-05,"B",5,197,6.2,70,"under31",33.3,38.1,8.99,18.26433,147,11.902,11.346,2.1153495548546,"NS"
"9","11A","11_2019-06-05",11,2019-06-05,"C",5,197,6.2,49,"under31",39.1,37.2,7.125,NA,141,8.995,7.951,1.37661439737795,"NS"
"10","15A","15_2019-06-05",15,2019-06-05,"C",5,197,6.2,82,"under31",32.5,NA,6.154,11.2607775,127,10.812,9.244,0.178472708796228,"NS"
"11","16A","16_2019-06-05",16,2019-06-05,"D",5,190,6.2,194,"under31",32.2,38.2,5.021,11.636415,136,11.887,7.767,0.569695506200056,"NS"
"12","17A","17_2019-06-05",17,2019-06-05,"D",5,190,6.2,117,"under31",31.6,NA,5.333,14.1990975,151,15.501,7.606,1.02335005912454,"NS"
"13","18A","18_2019-06-05",18,2019-06-05,"D",5,190,6.2,161,"under31",31,35,3.763,12.96645,131,10.069,8.508,-0.485603359850824,"NS"
"14","19A","19_2019-06-05",19,2019-06-05,"D",5,190,6.2,117,"under31",31.8,38.6,5.583,9.44937,154,9.761,8.082,0.827818463093327,"NS"
"15","20A","20_2019-06-05",20,2019-06-05,"D",5,190,6.2,113,"under31",37.9,37.5,8.261,NA,138,13.544,8.535,1.45856698993486,"NS"
"16","21A","21_2019-06-05",21,2019-06-05,"E",5,190,6.2,57,"under31",34.8,37.5,6.044,NA,147,11.972,7.738,1.00472818895221,"NS"
"17","22A","22_2019-06-05",22,2019-06-05,"E",5,190,6.2,181,"under31",32.6,NA,7.956,15.8685975,154,20.325,7.689,1.77445541946559,"NS"
"18","23A","23_2019-06-05",23,2019-06-05,"E",5,190,6.2,246,"under31",34.4,37.8,5.769,NA,143,12.169,7.728,0.928047532233885,"NS"
"19","24A","24_2019-06-05",24,2019-06-05,"E",5,190,6.2,166,"under31",35.9,37.3,6.635,NA,152,12.731,8.059,1.24708711209082,"NS"
"20","25A","25_2019-06-05",25,2019-06-05,"E",5,190,6.2,102,"under31",29.5,37.6,3.736,NA,133,10.37,9.476,-0.185360592040594,"NS"
"21","26A","26_2019-06-05",26,2019-06-05,"F",4,190,6.2,226,"under31",29.76,36.8,3.777,12.06492,132,12.284,NA,-0.216424439876327,"NS"
"22","28A","28_2019-06-05",28,2019-06-05,"F",4,190,6.2,181,"under31",25.61,36.9,3.077,NA,132,9.4,8.815,-0.908818042813694,"NS"
"23","29A","29_2019-06-05",29,2019-06-05,"F",4,190,6.2,93,"under31",33.55,37.2,7.451,15.22584,144,11.426,7.263,1.31583136008528,"NS"
"24","30A","30_2019-06-05",30,2019-06-05,"F",4,190,6.2,166,"under31",30.34,37.2,5.791,NA,138,12.703,8.988,0.226202512346302,"NS"
"25","31A","31_2019-06-05",31,2019-06-05,"G",5,183,6.2,274,"under31",35.76,37.5,7.512,NA,158,10.656,6.568,1.65672756793803,"NS"
"26","32A","32_2019-06-05",32,2019-06-05,"G",5,183,6.2,181,"under31",37.3,37.4,9.081,NA,137,12.399,8.669,1.51823696967761,"NS"
"27","33A","33_2019-06-05",33,2019-06-05,"G",5,183,6.2,228,"under31",34.6,37.5,8.662,NA,150,10.692,6.841,1.5834803008523,"NS"
"28","34A","34_2019-06-05",34,2019-06-05,"G",5,183,6.2,134,"under31",28.6,36.7,3.933,NA,137,11.549,7.77,-0.4600226899844,"NS"
"29","35A","35_2019-06-05",35,2019-06-05,"G",5,183,6.2,50,"under31",35.1,38,7.503,9.799965,138,16.702,8.792,0.884571561816771,"NS"
"30","36A","36_2019-06-05",36,2019-06-05,"H",5,183,6.2,211,"under31",33.9,36.9,7.003,NA,142,10.957,6.389,0.79889675031704,"NS"
"31","37A","37_2019-06-05",37,2019-06-05,"H",5,183,6.2,137,"under31",33.6,35.2,6.171,11.80893,133,11.551,7.35,0.0292454999856752,"NS"
"32","38A","38_2019-06-05",38,2019-06-05,"H",5,183,6.2,50,"under31",36.3,37.6,8.695,NA,145,9.78,8.422,1.65695582726251,"NS"
"33","39A","39_2019-06-05",39,2019-06-05,"H",5,183,6.2,281,"under31",28.9,36.7,2.892,NA,131,9.519,6.942,-0.740553349461148,"NS"
"34","40A","40_2019-06-05",40,2019-06-05,"H",5,183,6.2,93,"under31",29.9,38,6.543,NA,140,10.102,9.16,0.702501681407078,"NS"
"35","41A","41_2019-06-05",41,2019-06-05,"I",5,183,6.2,181,"under31",30.3,37.7,5.102,NA,144,10.964,6.703,0.454456704693676,"NS"
"36","42A","42_2019-06-05",42,2019-06-05,"I",5,183,6.2,139,"under31",33.4,37.3,7.693,NA,137,9.528,8.41,0.918096600407361,"NS"
"37","43A","43_2019-06-05",43,2019-06-05,"I",5,183,6.2,40,"under31",36.8,37.5,9.839,NA,148,14.014,7.548,1.901810091131,"NS"
"38","44A","44_2019-06-05",44,2019-06-05,"I",5,183,6.2,129,"under31",36.5,36.5,10.286,16.14963,131,10.896,13.974,1.60840234169504,"NS"
"39","45A","45_2019-06-05",45,2019-06-05,"I",5,183,6.2,281,"under31",29.9,36.3,3.502,10.86288,144,9.521,34.343,-0.46461709877125,"NS"
"40","46A","46_2019-06-05",46,2019-06-05,"J",5,183,6.2,117,"under31",33.6,37.1,5.832,12.4656,149,10.58,9.46,0.825165667458919,"NS"
"41","47A","47_2019-06-05",47,2019-06-05,"J",5,183,6.2,113,"under31",36.6,37.3,7.454,12.65481,143,9.346,24.261,1.16082997219405,"NS"
"42","48A","48_2019-06-05",48,2019-06-05,"J",5,183,6.2,23,"above31",30.6,35,0.932,4.35183,131,9.648,13.056,-1.9167870433338,"S"
"43","49A","49_2019-06-05",49,2019-06-05,"J",5,183,6.2,70,"under31",32.7,35.2,5.562,12.9108,163,12.484,8.727,0.492572536478657,"NS"
"44","50A","50_2019-06-05",50,2019-06-05,"J",5,183,6.2,13,"above31",25.2,NA,1.946,5.19771,114,12.42,41.68,-2.46582719948861,"S"
"45","16B","16_2019-09-17",16,2019-09-17,"D",5,294,9.5,90,"under31",29,37.3,NA,NA,143,NA,6.816,0.154197880479096,"NS"
"46","18B","18_2019-09-17",18,2019-09-17,"D",5,294,9.5,57,"under31",28.3,37.8,NA,NA,134,NA,7.164,-0.169117803674404,"NS"
"47","19B","19_2019-09-17",19,2019-09-17,"D",5,294,9.5,13,"above31",28.6,37.3,NA,NA,114,NA,10.25,-1.1261491335376,"S"
"48","22B","22_2019-09-17",22,2019-09-17,"E",3,294,9.5,77,"under31",32,37.9,NA,NA,153,NA,6.674,1.22792374845523,"NS"
"49","23B","23_2019-09-17",23,2019-09-17,"E",3,294,9.5,142,"under31",31.3,37.6,NA,NA,138,NA,6.979,0.411926927059131,"NS"
"50","24B","24_2019-09-17",24,2019-09-17,"E",3,294,9.5,62,"under31",34.6,36.8,NA,NA,143,NA,6.719,0.894199703113585,"NS"
"51","26B","26_2019-09-17",26,2019-09-17,"F",3,294,9.5,122,"under31",27.5,38.3,NA,NA,154,NA,6.32,0.678748473110276,"NS"
"52","28B","28_2019-09-17",28,2019-09-17,"F",3,294,9.5,77,"under31",24.8,37.9,NA,NA,124,NA,7.407,-1.10463734100539,"S"
"53","30B","30_2019-09-17",30,2019-09-17,"F",3,294,9.5,62,"under31",31.9,37.5,NA,NA,140,NA,6.446,0.564267187046655,"NS"
"54","31B","31_2019-09-17",31,2019-09-17,"G",4,287,9.5,170,"under31",34.8,36.7,NA,NA,139,NA,6.548,0.735449877203799,"NS"
"55","32B","32_2019-09-17",32,2019-09-17,"G",4,287,9.5,77,"under31",37.1,37,NA,NA,153,NA,6.089,1.76891102642585,"NS"
"56","33B","33_2019-09-17",33,2019-09-17,"G",4,287,9.5,124,"under31",32.3,37.7,NA,NA,150,NA,7.254,1.08442852317214,"NS"
"57","34B","34_2019-09-17",34,2019-09-17,"G",4,287,9.5,30,"above31",29.4,37.8,NA,NA,135,NA,7.288,0.0455716351420659,"NS"
"58","36B","36_2019-09-17",36,2019-09-17,"M",3,287,9.5,107,"under31",32.5,36.6,NA,NA,133,NA,NA,0.0105515115733511,"NS"
"59","39B","39_2019-09-17",39,2019-09-17,"L",6,287,9.5,177,"under31",27.7,36.7,NA,NA,156,NA,6.745,0.284332389161744,"NS"
"60","41B","41_2019-09-17",41,2019-09-17,"L",6,287,9.5,77,"under31",27.4,36.8,NA,NA,134,NA,6.543,-0.618488717468331,"NS"
"61","42B","42_2019-09-17",42,2019-09-17,"L",6,287,9.5,35,"under31",37.5,37.2,NA,NA,131,NA,7.925,0.982831265778774,"NS"
"62","44B","44_2019-09-17",44,2019-09-17,"L",6,287,9.5,25,"above31",37.5,36.9,NA,NA,130,NA,8.527,0.840524741180602,"NS"
"63","45B","45_2019-09-17",45,2019-09-17,"M",3,287,9.5,177,"under31",26,36.1,NA,NA,134,NA,6.945,-1.06708134140198,"NS"
"64","46B","46_2019-09-17",46,2019-09-17,"L",6,287,9.5,13,"above31",27.7,35.1,NA,NA,83,NA,9.319,-3.20017651777551,"S"
"65","47B","47_2019-09-17",47,2019-09-17,"M",3,287,9.5,9,"above31",35.2,37,NA,NA,131,NA,6.615,0.569391929000837,"NS"
"66","17C","16_2019-10-04",16,2019-10-04,"D",2,311,10.1,73,"under31",33.5,36,6.224,10.07265,143,11.837,7.706,0.220777541288971,"NS"
"67","18C","18_2019-10-04",18,2019-10-04,"D",2,311,10.1,40,"under31",32.9,36.9,5.701,11.96475,152,10.852,8.22,0.704716871408607,"NS"
"68","22C","22_2019-10-04",22,2019-10-04,"E",3,311,10.1,60,"under31",34.3,36.8,7.377,10.33977,153,12.502,9.057,0.853222614690407,"NS"
"69","23C","23_2019-10-04",23,2019-10-04,"E",3,311,10.1,125,"under31",37,36.5,7.482,6.84495,140,12.426,7.87,0.393516612642285,"NS"
"70","24C","24_2019-10-04",24,2019-10-04,"E",3,311,10.1,45,"under31",37.3,36,8.286,11.55294,146,10.341,6.481,1.05805633199664,"NS"
"71","26C","26_2019-10-04",26,2019-10-04,"F",3,311,10.1,105,"under31",28.4,35.9,4.961,10.61802,154,10.538,8.295,-0.117382654745721,"NS"
"72","28C","28_2019-10-04",28,2019-10-04,"F",3,311,10.1,60,"under31",28.3,36.5,5.233,11.04096,137,10.664,6.698,-0.164449943674831,"NS"
"73","30C","30_2019-10-04",30,2019-10-04,"F",3,311,10.1,45,"under31",34.5,36,9.607,16.52805,159,11.046,8.522,1.79556301842296,"NS"
"74","31C","31_2019-10-04",31,2019-10-04,"G",4,304,10.1,153,"under31",39.5,36,8.785,11.63085,152,9.062,7.593,1.41676974826538,"NS"
"75","32C","32_2019-10-04",32,2019-10-04,"G",4,304,10.1,60,"under31",41.2,35.8,12.589,12.08718,149,11.062,6.9,2.05017702566389,"NS"
"76","33C","33_2019-10-04",33,2019-10-04,"G",4,304,10.1,107,"under31",26.9,36.6,10.544,13.63425,161,10.628,7.876,1.25813843876354,"NS"
"77","34C","34_2019-10-04",34,2019-10-04,"G",4,304,10.1,13,"above31",26.9,34.5,1.069,0,89,41.924,40.076,-4.08064423785896,"S"
"78","46C","36_2019-10-04",36,2019-10-04,"O",3,304,10.1,90,"under31",36.8,36.1,12.611,16.61709,154,9.677,6.882,2.40089979208326,"NS"
"79","37C","37_2019-10-04",37,2019-10-04,"O",3,304,10.1,16,"above31",35.3,35.3,0.554,1.41351,92,162.61,28.611,-4.34549199993972,"S"
"80","39C","39_2019-10-04",39,2019-10-04,"L",4,304,10.1,160,"under31",29.9,38.1,5.984,13.42278,140,8.367,7.179,0.825829582914411,"NS"
"81","41C","41_2019-10-04",41,2019-10-04,"L",4,304,10.1,60,"under31",33,37.6,6.322,10.61802,145,9.027,7.167,0.750890246083448,"NS"
"82","42C","42_2019-10-04",42,2019-10-04,"L",4,304,10.1,18,"above31",26.9,34.5,0.924,0,85,70.466,52.267,-4.58198429036775,"S"
"83","44C","44_2019-10-04",44,2019-10-04,"L",4,304,10.1,8,"above31",30.9,34.2,NA,0,47,49.683,67.28,-4.70187912747114,"S"
"84","45C","45_2019-10-04",45,2019-10-04,"O",3,304,10.1,160,"under31",30.8,36.4,7.053,15.94929,138,8.723,7.034,0.843903650933526,"NS"
"85","23D","23_2019-12-16",23,2019-12-16,"Q",2,384,12.5,52,"under31",31.6,37,7.86,NA,130,12.075,6.441,0.497995701091194,"NS"
"86","26D","26_2019-12-16",26,2019-12-16,"R",2,384,12.5,32,"under31",27,38.3,3.88,NA,125,12.28,6.644,-0.318697770833977,"NS"
"87","31D","31_2019-12-16",31,2019-12-16,"P",4,377,12.5,80,"under31",39.4,37.3,12.6,NA,137,10.729,6.558,2.37746459968793,"NS"
"88","33D","33_2019-12-16",33,2019-12-16,"P",4,377,12.5,34,"under31",36,37.8,9.16,NA,144,12.267,8.755,1.73103382966761,"NS"
"89","36D","36_2019-12-16",36,2019-12-16,"P",4,377,12.5,17,"above31",30.6,33.8,1.33,NA,102,22.789,20.115,-2.90579277022763,"S"
"90","39D","39_2019-12-16",39,2019-12-16,"R",2,377,12.5,87,"under31",26,38.1,3.02,NA,108,10.02,11.8,-1.05170771340267,"NS"
"91","45D","45_2019-12-16",45,2019-12-16,"P",4,377,12.5,87,"under31",28.5,37.9,3.55,NA,116,13.185,6.997,-0.623405798789049,"NS"
